Year,location,latitude,longitude,num_of_people
1990,Myanmar,16.809141,96.15612,1370
1995,Myanmar,16.809141,96.15612,1557
2000,Myanmar,16.809141,96.15612,1359
2005,Myanmar,16.809141,96.15612,1154
2010,Myanmar,16.809141,96.15612,1065
2015,Myanmar,16.809141,96.15612,1024
2017,Myanmar,16.809141,96.15612,1042
1990,Namibia,-22.9671,18.493,48
1995,Namibia,-22.9671,18.493,45
2000,Namibia,-22.9671,18.493,44
2005,Namibia,-22.9671,18.493,34
2010,Namibia,-22.9671,18.493,32
2015,Namibia,-22.9671,18.493,29
2017,Namibia,-22.9671,18.493,28
1990,Nepal,27.700769,85.300140,500
1995,Nepal,27.700769,85.300140,577
2000,Nepal,27.700769,85.300140,522
2005,Nepal,27.700769,85.300140,452
2010,Nepal,27.700769,85.300140,243
2015,Nepal,27.700769,85.300140,233
2017,Nepal,27.700769,85.300140,229
1990,Netherlands,52.370216,4.895168,401
1995,Netherlands,52.370216,4.895168,590
2000,Netherlands,52.370216,4.895168,800
2005,Netherlands,52.370216,4.895168,994
2010,Netherlands,52.370216,4.895168,1121
2015,Netherlands,52.370216,4.895168,1335
2017,Netherlands,52.370216,4.895168,1518
1990,NewZealand,-36.848461,174.763336,252
1995,NewZealand,-36.848461,174.763336,791
2000,NewZealand,-36.848461,174.763336,1155
2005,NewZealand,-36.848461,174.763336,1374
2010,NewZealand,-36.848461,174.763336,1463
2015,NewZealand,-36.848461,174.763336,1530
2017,NewZealand,-36.848461,174.763336,1570
1990,NorthernMarianaIslands,15.1064,145.7065,434
1995,NorthernMarianaIslands,15.1064,145.7065,590
2000,NorthernMarianaIslands,15.1064,145.7065,783
2005,NorthernMarianaIslands,15.1064,145.7065,698
2010,NorthernMarianaIslands,15.1064,145.7065,413
2015,NorthernMarianaIslands,15.1064,145.7065,370
2017,NorthernMarianaIslands,15.1064,145.7065,372
1990,Norway,59.911491,10.757933,558
1995,Norway,59.911491,10.757933,492
2000,Norway,59.911491,10.757933,485
2005,Norway,59.911491,10.757933,558
2010,Norway,59.911491,10.757933,718
2015,Norway,59.911491,10.757933,1006
2017,Norway,59.911491,10.757933,1076
1990,Oman,23.614328,58.545284,50041
1995,Oman,23.614328,58.545284,82653
2000,Oman,23.614328,58.545284,92034
2005,Oman,23.614328,58.545284,92947
2010,Oman,23.614328,58.545284,108861
2015,Oman,23.614328,58.545284,242015
2017,Oman,23.614328,58.545284,276518
1990,Panama,8.983333,-79.51667,7
1995,Panama,8.983333,-79.51667,9
2000,Panama,8.983333,-79.51667,13
2005,Panama,8.983333,-79.51667,23
2010,Panama,8.983333,-79.51667,35
2015,Panama,8.983333,-79.51667,42
2017,Panama,8.983333,-79.51667,43
1990,Philippines,14.556586,121.023415,70
1995,Philippines,14.556586,121.023415,94
2000,Philippines,14.556586,121.023415,754
2005,Philippines,14.556586,121.023415,610
2010,Philippines,14.556586,121.023415,156
2015,Philippines,14.556586,121.023415,158
2017,Philippines,14.556586,121.023415,162
1990,Poland,52.237049,21.017532,60
1995,Poland,52.237049,21.017532,51
2000,Poland,52.237049,21.017532,44
2005,Poland,52.237049,21.017532,72
2010,Poland,52.237049,21.017532,103
2015,Poland,52.237049,21.017532,100
2017,Poland,52.237049,21.017532,104
1990,Portugal,37.019356,-7.93044,76
1995,Portugal,37.019356,-7.93044,165
2000,Portugal,37.019356,-7.93044,261
2005,Portugal,37.019356,-7.93044,849
2010,Portugal,37.019356,-7.93044,1297
2015,Portugal,37.019356,-7.93044,1470
2017,Portugal,37.019356,-7.93044,1496
1990,Qatar,25.286106,51.534817,36556
1995,Qatar,25.286106,51.534817,43199
2000,Qatar,25.286106,51.534817,43402
2005,Qatar,25.286106,51.534817,75689
2010,Qatar,25.286106,51.534817,169370
2015,Qatar,25.286106,51.534817,160183
2017,Qatar,25.286106,51.534817,163386
1990,SouthKorea,37.532600,127.047325,658
1995,SouthKorea,37.532600,127.047325,4103
2000,SouthKorea,37.532600,127.047325,8855
2005,SouthKorea,37.532600,127.047325,7311
2010,SouthKorea,37.532600,127.047325,8664
2015,SouthKorea,37.532600,127.047325,10773
2017,SouthKorea,37.532600,127.047325,10855
1990,Romania,44.439663,26.096306,3
1995,Romania,44.439663,26.096306,5
2000,Romania,44.439663,26.096306,7
2005,Romania,44.439663,26.096306,8
2010,Romania,44.439663,26.096306,11
2015,Romania,44.439663,26.096306,100
2017,Romania,44.439663,26.096306,131
1990,Russia,55.751244,37.618423,1280
1995,Russia,55.751244,37.618423,1035
2000,Russia,55.751244,37.618423,753
2005,Russia,55.751244,37.618423,614
2010,Russia,55.751244,37.618423,463
2015,Russia,55.751244,37.618423,471
2017,Russia,55.751244,37.618423,471
1990,SaudiArabia,24.774265,46.738586,479380
1995,SaudiArabia,24.774265,46.738586,491297
2000,SaudiArabia,24.774265,46.738586,504790
2005,SaudiArabia,24.774265,46.738586,623564
2010,SaudiArabia,24.774265,46.738586,808485
2015,SaudiArabia,24.774265,46.738586,1022812
2017,SaudiArabia,24.774265,46.738586,1157072
1990,Seychelles,-4.588232,55.453384,11
1995,Seychelles,-4.588232,55.453384,14
2000,Seychelles,-4.588232,55.453384,17
2005,Seychelles,-4.588232,55.453384,107
2010,Seychelles,-4.588232,55.453384,197
2015,Seychelles,-4.588232,55.453384,220
2017,Seychelles,-4.588232,55.453384,222
1990,Singapore,1.29027,103.851959,8818
1995,Singapore,1.29027,103.851959,18587
2000,Singapore,1.29027,103.851959,30155
2005,Singapore,1.29027,103.851959,47991
2010,Singapore,1.29027,103.851959,68502
2015,Singapore,1.29027,103.851959,80747
2017,Singapore,1.29027,103.851959,83279
2010,Slovenia,46.056946,14.505751,3
2015,Slovenia,46.056946,14.505751,2
2017,Slovenia,46.056946,14.505751,11
1990,SouthAfrica,-26.195246,28.034088,2469
1995,SouthAfrica,-26.195246,28.034088,1540
2000,SouthAfrica,-26.195246,28.034088,1049
